Re_Z,Im_Z,battery_id,cycle_count
0.042656785015528095,0.00042138651598535204,B0005,1
0.044257266222711596,0.0005326129181916339,B0005,1
0.044494962350949505,8.696139688419003e-07,B0005,1
0.046208080975856734,0.00083730256652734,B0005,1
0.04646239327290736,0.0006163761499689965,B0005,1
0.04740419344429043,0.0010535164670629718,B0005,1
0.04839342186537338,0.001323056963353564,B0005,1
0.049330557379055964,0.0013907792710413118,B0005,1
0.04981478004175886,0.0013276842607610885,B0005,1
0.05125765448314796,0.0015578268021544006,B0005,1
0.05182905646543229,0.0013623937316376447,B0005,1
0.054146489488702404,0.0015728547309964917,B0005,1
0.055367672811323966,0.0015683883343276534,B0005,1
0.05571533477037007,0.001462373687082787,B0005,1
0.05703846781348653,0.0013532244829607867,B0005,1
0.0594403499586812,0.0018507511137952097,B0005,1
0.06006457599779108,0.0012116445675047615,B0005,1
0.06027082586074593,0.0017438566015080792,B0005,1
0.06049362403316041,0.001758110277177833,B0005,1
0.06184176180148224,0.001105136990278074,B0005,1
0.06214646643565881,0.0016369635839241206,B0005,1
0.06278200115456109,0.001262633049077258,B0005,1
0.06363403620715938,0.0016305613153677462,B0005,1
0.06388080305028336,0.0007306050262178715,B0005,1
0.06551759760193931,0.001140192576177019,B0005,1
0.06579331626644688,0.0006445539965625643,B0005,1
0.0662655499601463,0.00088302206125567,B0005,1
0.06637541461339663,0.0009963224748292551,B0005,1
0.06657097005879097,0.0005844149241307191,B0005,1
0.06682466747217389,0.0008028394398595097,B0005,1
0.06691839226387165,0.0008787264015490232,B0005,1
0.06717687964316375,0.001568265195772728,B0005,1
0.06742609767221985,0.0012295263080468822,B0005,1
0.06772414798679977,0.0004767536238616359,B0005,1
0.06793257733714593,5.6826811936507056e-05,B0005,1
0.06807105294348659,0.0001974802021297548,B0005,1
0.06817886114940203,0.001190040925296937,B0005,1
0.06841817772280893,0.0009573641720606558,B0005,1
0.07006937798290404,0.00047998469078178944,B0005,1
0.04463523309113967,4.3192509770360373e-05,B0005,2
0.04604122660046471,0.00025344293856838365,B0005,2
0.04624474480543445,0.00037031161821212804,B0005,2
0.046360678878496944,0.0004967144407568554,B0005,2
0.046569286383090776,0.0005070354083308616,B0005,2
0.047281626229711264,0.0008735836336317014,B0005,2
0.04855458476059239,0.0009666078322934986,B0005,2
0.049574519010612994,0.0009574002671118062,B0005,2
0.04981812053289642,0.001340369185743194,B0005,2
0.05005380912530993,0.0011288436472023627,B0005,2
0.05061569786854061,0.0013664628725549802,B0005,2
0.05155604593438324,0.0016664701694550671,B0005,2
0.0538800373621942,0.0012471040054547711,B0005,2
0.05494142295479858,0.0017538823109648077,B0005,2
0.056412991495527615,0.001564910167470912,B0005,2
0.05733846562385786,0.0014183291419828923,B0005,2
0.05795691217801428,0.0020119011552259553,B0005,2
0.05852250401641628,0.0016520743719269468,B0005,2
